chinese,english,source,refs_list
羊续悬鱼,an impossible and absurd situation; a fanciful and unrealistic idea,JSON,"['an impossible and absurd situation', 'a fanciful and unrealistic idea']"
朗朗上口,"something that is easy to recite or remember, such as a poem or a slogan",JSON,"['something that is easy to recite or remember, such as a poem or a slogan']"
相提而论,comparing two things or people in a discussion or evaluation,JSON,['comparing two things or people in a discussion or evaluation']
礼崩乐坏,The breakdown of etiquette leading to great joy and excitement,JSON,['the breakdown of etiquette leading to great joy and excitement']
龙蛇飞动,movements and activities of powerful and influential figures; also refers to a chaotic and turbulent situation,JSON,"['movements and activities of powerful and influential figures', 'also refers to a chaotic and turbulent situation']"
拨云见日,"""seeing the light at the end of the tunnel"", ""finding a solution or seeing hope after a difficult or challenging situation""",JSON,"['seeing the light at the end of the tunnel', 'finding a solution or seeing hope after a difficult or challenging situation']"
开卷有益,reading is always beneficial; opening a book is always helpful,JSON,"['reading is always beneficial', 'opening a book is always helpful']"
纵横交错,crosswise and lengthwise intertwined; full of twists and turns; intricate,JSON,"['crosswise and lengthwise intertwined', 'full of twists and turns', 'intricate']"
十万火急,extremely urgent or in a state of emergency,JSON,['extremely urgent or in a state of emergency']
云集响应,"a large number of people gathering and responding, showing overwhelming support and agreement",JSON,"['a large number of people gathering and responding, showing overwhelming support and agreement']"
鸣鼓而攻,Launching an attack with a flourish; making a strong and decisive move,JSON,"['launching an attack with a flourish', 'making a strong and decisive move']"
自惭形秽,feeling ashamed and inadequate in comparison to someone else,JSON,['feeling ashamed and inadequate in comparison to someone else']
万籁无声,complete silence,JSON,['complete silence']
一波三折,going through twists and turns; referring to a difficult and complicated process,JSON,"['going through twists and turns', 'referring to a difficult and complicated process']"
闻一知十,understanding or deducing the whole story or pattern after hearing just one part or a few pieces of information,JSON,['understanding or deducing the whole story or pattern after hearing just one part or a few pieces of information']
哀痛欲绝,overwhelmed with grief and sorrow,JSON,['overwhelmed with grief and sorrow']
一去不复返,can never be returned or recovered once gone,JSON,['can never be returned or recovered once gone']
拒之门外,to reject or exclude someone,JSON,['to reject or exclude someone']
千娇百媚,"charming, sweet and lovable in various ways",JSON,"['charming, sweet and lovable in various ways']"
浑然一体,"integrated into a whole, without any distinct or separate parts",JSON,"['integrated into a whole, without any distinct or separate parts']"
轻财仗义,being generous and righteous with money,JSON,['being generous and righteous with money']
一了百了,"kill two birds with one stone, solve a problem completely",JSON,"['kill two birds with one stone, solve a problem completely']"
包办代替,"to take care of something on behalf of someone else, often without their consent or knowledge",JSON,"['to take care of something on behalf of someone else, often without their consent or knowledge']"
火眼金睛,sharp-sighted and penetrating; able to see through deception,JSON,"['sharp-sighted and penetrating', 'able to see through deception']"
精益求精,striving for perfection and continuous improvement,JSON,['striving for perfection and continuous improvement']
一板一眼,"strict and meticulous, following rules and regulations",JSON,"['strict and meticulous, following rules and regulations']"
弥天大罪,a heinous crime that is unforgivable,JSON,['a heinous crime that is unforgivable']
杳无人迹,no trace or sign of human presence,JSON,['no trace or sign of human presence']
麻木不仁,numb and heartless; lacking compassion or sensitivity,JSON,"['numb and heartless', 'lacking compassion or sensitivity']"
浓荫蔽日,overwhelmingly covered and hidden by the shade of trees; also used metaphorically to describe a place or situation that is shrouded in mystery or secrecy,JSON,"['overwhelmingly covered and hidden by the shade of trees', 'also used metaphorically to describe a place or situation that is shrouded in mystery or secrecy']"
大风大浪,adversity or difficult and challenging situations,JSON,['adversity or difficult and challenging situations']
用武之地,a place where one can fully utilize one's skills or abilities,JSON,"[""a place where one can fully utilize one's skills or abilities""]"
向壁虚造,fabricating stories and deceiving oneself,JSON,['fabricating stories and deceiving oneself']
女娲补天,to correct or repair something that is in a complete mess or chaos,JSON,['to correct or repair something that is in a complete mess or chaos']
风和日丽,a pleasant and mild weather,JSON,['a pleasant and mild weather']
路不拾遗,to not find any lost items on the road,JSON,['to not find any lost items on the road']
发愤图强,to work hard and strive for self-improvement,JSON,['to work hard and strive for self-improvement']
装神弄鬼,to pretend to be mysterious or supernatural for deceptive purposes,JSON,['to pretend to be mysterious or supernatural for deceptive purposes']
目不暇给,too much to see and take in; so many things happening at once that one cannot take everything in,JSON,"['too much to see and take in', 'so many things happening at once that one cannot take everything in']"
折冲樽俎,Putting personal grievances aside and working together for a greater cause,JSON,['putting personal grievances aside and working together for a greater cause']
鸟语花香,"pleasant and peaceful atmosphere, filled with the sound of birds singing and the fragrance of flowers",JSON,"['pleasant and peaceful atmosphere, filled with the sound of birds singing and the fragrance of flowers']"
扬长而去,to leave in a confident and triumphant manner,JSON,['to leave in a confident and triumphant manner']
翻云覆雨,to change one's mind frequently; to vacillate or waver in decision-making,JSON,"[""to change one's mind frequently"", 'to vacillate or waver in decision-making']"
失魂丧胆,terrified and paralyzed with fear,JSON,['terrified and paralyzed with fear']
勤勤恳恳,diligent and earnest,JSON,['diligent and earnest']
崭露头角,to become prominent or make one's mark,JSON,"[""to become prominent or make one's mark""]"
怜香惜玉,to feel pity for and cherish precious things,JSON,['to feel pity for and cherish precious things']
念念有词,to constantly repeat a set of words or phrases,JSON,['to constantly repeat a set of words or phrases']
雕栏玉砌,exquisite and beautiful architectural or artistic work,JSON,['exquisite and beautiful architectural or artistic work']
形迹可疑,suspicious behavior; showing signs of being suspicious,JSON,"['suspicious behavior', 'showing signs of being suspicious']"
选贤举能,Select and promote capable and virtuous individuals,JSON,['select and promote capable and virtuous individuals']
措置裕如,be fully confident in handling a situation,JSON,['be fully confident in handling a situation']
树大招风,Drawing attention or attracting criticism when one is in a prominent position or in a position of power,JSON,['drawing attention or attracting criticism when one is in a prominent position or in a position of power']
五洲四海,throughout the world,JSON,['throughout the world']
力所能及,within one's power or ability,JSON,"[""within one's power or ability""]"
崇洋媚外,admiring foreign things and being overly eager to imitate or please foreigners,JSON,['admiring foreign things and being overly eager to imitate or please foreigners']
天愁地惨,a situation of extreme misery or distress,JSON,['a situation of extreme misery or distress']
自力更生,relying on oneself for survival,JSON,['relying on oneself for survival']
万家灯火,the lights of a thousand households; a flourishing scene with numerous homes lit up,JSON,"['the lights of a thousand households', 'a flourishing scene with numerous homes lit up']"
古为今用,to apply ancient principles in contemporary situations,JSON,['to apply ancient principles in contemporary situations']
感慨系之,to feel emotional and be deeply affected by something,JSON,['to feel emotional and be deeply affected by something']
誓不甘休,swear to never give up,JSON,['swear to never give up']
花信年华,the fleeting beauty of youth,JSON,['the fleeting beauty of youth']
规矩绳墨,strict rules and regulations,JSON,['strict rules and regulations']
文风不动,showing no reaction or emotion; remaining calm and composed,JSON,"['showing no reaction or emotion', 'remaining calm and composed']"
从容就义,"accepting one's fate calmly and bravely, especially in the face of sacrifice or death",JSON,"[""accepting one's fate calmly and bravely, especially in the face of sacrifice or death""]"
晓行夜宿,travel day and night; also means being tireless in one's efforts,JSON,"['travel day and night', ""also means being tireless in one's efforts""]"
箭在弦上,"at the point of no return, irreversible",JSON,"['at the point of no return, irreversible']"
泥沙俱下,mixed with sand and mud,JSON,['mixed with sand and mud']
以邻为壑,to sacrifice one's neighbor for personal gain,JSON,"[""to sacrifice one's neighbor for personal gain""]"
如芒在背,feeling constantly worried and threatened,JSON,['feeling constantly worried and threatened']
望其项背,judging someone based on their appearance or actions without knowing the true nature or character of the person,JSON,['judging someone based on their appearance or actions without knowing the true nature or character of the person']
齐家治国,running one's household and governing the country well,JSON,"[""running one's household and governing the country well""]"
喜怒哀乐,"the full range of emotions; joy, anger, sorrow, and happiness",JSON,"['the full range of emotions', 'joy, anger, sorrow, and happiness']"
暧昧不明,"unclear or ambiguous, often referring to a situation or relationship",JSON,"['unclear or ambiguous, often referring to a situation or relationship']"
味如鸡肋,tasteless like chicken ribs,JSON,['tasteless like chicken ribs']
名列前茅,to be among the top ranked or listed in the forefront,JSON,['to be among the top ranked or listed in the forefront']
宠辱若惊,Being equally unaffected by both favor and humiliation; remaining calm and composed in the face of both praise and criticism,JSON,"['being equally unaffected by both favor and humiliation', 'remaining calm and composed in the face of both praise and criticism']"
含英咀华,"Being knowledgeable and eloquent, but unable to put it into practical use",JSON,"['being knowledgeable and eloquent, but unable to put it into practical use']"
点睛之笔,a crucial or finishing touch that brings out the best in something,JSON,['a crucial or finishing touch that brings out the best in something']
大势所趋,a trend that cannot be stopped or resisted,JSON,['a trend that cannot be stopped or resisted']
谈情说爱,to talk about love and romance,JSON,['to talk about love and romance']
八面受敌,to be surrounded by enemies on all sides,JSON,['to be surrounded by enemies on all sides']
拾人牙慧,to learn from others' wisdom or knowledge,JSON,"[""to learn from others' wisdom or knowledge""]"
力尽筋疲,exhausted and physically worn out,JSON,['exhausted and physically worn out']
叱咤风云,to dominate the scene; to be in control of the situation,JSON,"['to dominate the scene', 'to be in control of the situation']"
有声无气,lacking strength or conviction in speech; weak and feeble,JSON,"['lacking strength or conviction in speech', 'weak and feeble']"
专横跋扈,"being overbearing and arrogant, behaving in a domineering and tyrannical manner",JSON,"['being overbearing and arrogant, behaving in a domineering and tyrannical manner']"
纷至沓来,coming in an endless stream; in large numbers,JSON,"['coming in an endless stream', 'in large numbers']"
运用自如,Be able to use something skillfully and freely.,JSON,['be able to use something skillfully and freely.']
含垢忍辱,to bear humiliation and endure disgrace,JSON,['to bear humiliation and endure disgrace']
委靡不振,to be in a state of listlessness and depression; lacking in energy and vigor,JSON,"['to be in a state of listlessness and depression', 'lacking in energy and vigor']"
束手无措,being at a loss; not knowing what to do; feeling helpless or powerless in a situation,JSON,"['being at a loss', 'not knowing what to do', 'feeling helpless or powerless in a situation']"
饿虎擒羊,capture the prey easily; with an overwhelming advantage,JSON,"['capture the prey easily', 'with an overwhelming advantage']"
忍无可忍,reaching the limits of one's tolerance; unable to tolerate any further,JSON,"[""reaching the limits of one's tolerance"", 'unable to tolerate any further']"
洁身自好,to maintain one's integrity and keep oneself uncontaminated,JSON,"[""to maintain one's integrity and keep oneself uncontaminated""]"
金玉良缘,a perfect match or a happy marriage between two people,JSON,['a perfect match or a happy marriage between two people']
离题万里,going off-topic or deviating from the main subject by a great extent,JSON,['going off-topic or deviating from the main subject by a great extent']
半梦半醒,in a state between being half asleep and half awake,JSON,['in a state between being half asleep and half awake']
差之毫厘，谬以千里,"A tiny error in judgment, a thousand miles off the mark",JSON,"['a tiny error in judgment, a thousand miles off the mark']"
心醉神迷,be fascinated or captivated,JSON,['be fascinated or captivated']
能者多劳,those who are capable will have more work to do,JSON,['those who are capable will have more work to do']
改朝换代,changing of dynasties; a significant political or social change,JSON,"['changing of dynasties', 'a significant political or social change']"
善有善报，恶有恶报,"Good deeds will be rewarded, and evil deeds will be punished.",JSON,"['good deeds will be rewarded, and evil deeds will be punished.']"
自不量力,overestimate one's own abilities,JSON,"[""overestimate one's own abilities""]"
不堪回首,too painful to look back on,JSON,['too painful to look back on']
嬉笑怒骂,"joking and laughing, expressing anger and cursing",JSON,"['joking and laughing, expressing anger and cursing']"
生动活泼,lively and vivacious,JSON,['lively and vivacious']
众星捧月,being surrounded or adored by many people,JSON,['being surrounded or adored by many people']
太平无事,peaceful and quiet; nothing out of the ordinary happening,JSON,"['peaceful and quiet', 'nothing out of the ordinary happening']"
其乐无穷,endless enjoyment or boundless joy,JSON,['endless enjoyment or boundless joy']
四时八节,"Throughout the year, at all times and in all seasons.",JSON,"['throughout the year, at all times and in all seasons.']"
捏一把汗,Sweating bullets,JSON,['sweating bullets']
不堪设想,"""unimaginable"" or ""too horrible to imagine""",JSON,"['unimaginable', 'too horrible to imagine']"
精卫填海,perseverance against all odds,JSON,['perseverance against all odds']
一钱太守,"a magistrate who values money above all else, often implying corruption",JSON,"['a magistrate who values money above all else, often implying corruption']"
无恶不作,"committing all kinds of evil acts, not hesitating to do anything bad",JSON,"['committing all kinds of evil acts, not hesitating to do anything bad']"
众口铄金,The consensus of many is valuable and reliable.,JSON,['the consensus of many is valuable and reliable.']
一张一弛,alternating between exertion and rest; maintaining a balance between work and relaxation,JSON,"['alternating between exertion and rest', 'maintaining a balance between work and relaxation']"
博闻强记,having extensive knowledge and excellent memory,JSON,['having extensive knowledge and excellent memory']
有求必应,to meet every request or demand without hesitation or refusal,JSON,['to meet every request or demand without hesitation or refusal']
佛头著粪,an insult to someone who is highly respected or revered,JSON,['an insult to someone who is highly respected or revered']
夜长梦多,Long nights bring many dreams,JSON,['long nights bring many dreams']
永无止境,endless; having no limits or boundaries,JSON,"['endless', 'having no limits or boundaries']"
夸父逐日,Chasing after something that is unattainable; pursuing an impossible goal,JSON,"['chasing after something that is unattainable', 'pursuing an impossible goal']"
上行下效,to follow the example of superiors and learn from their success,JSON,['to follow the example of superiors and learn from their success']
水木清华,a prestigious and renowned university,JSON,['a prestigious and renowned university']
心急火燎,being extremely impatient or anxious,JSON,['being extremely impatient or anxious']
不知轻重,lack understanding of the seriousness of a situation,JSON,['lack understanding of the seriousness of a situation']
普天之下,"""under the whole sky"" or ""the whole world""",JSON,"['under the whole sky', 'the whole world']"
变幻莫测,"unpredictable, constantly changing",JSON,"['unpredictable, constantly changing']"
膏腴之地,a place of abundant resources or favorable conditions,JSON,['a place of abundant resources or favorable conditions']
大同小异,similar with minor differences; largely the same with only slight variations,JSON,"['similar with minor differences', 'largely the same with only slight variations']"
骇人听闻,shocking and unbelievable,JSON,['shocking and unbelievable']
鱼肉乡里,being treated as an enemy or being bullied in one's hometown,JSON,"[""being treated as an enemy or being bullied in one's hometown""]"
湖光山色,beautiful scenery of lakes and mountains,JSON,['beautiful scenery of lakes and mountains']
奇装异服,wearing strange and unconventional clothes; dressing in a peculiar way,JSON,"['wearing strange and unconventional clothes', 'dressing in a peculiar way']"
四肢百骸,every part of the body,JSON,['every part of the body']
不务正业,not focused on one's work or responsibilities,JSON,"[""not focused on one's work or responsibilities""]"
不关痛痒,not being concerned or affected by something,JSON,['not being concerned or affected by something']
良师益友,Good teacher and helpful friend,JSON,['good teacher and helpful friend']
冤家路窄,having a narrow road with one's enemy,JSON,"[""having a narrow road with one's enemy""]"
知法犯法,knowing the law but still breaking it,JSON,['knowing the law but still breaking it']
解衣推食,"to share everything, including clothes and food",JSON,"['to share everything, including clothes and food']"
一见钟情,falling in love at first sight,JSON,['falling in love at first sight']
妻离子散,"the family falls apart, with the husband and children scattered",JSON,"['the family falls apart, with the husband and children scattered']"
兵戎相见,to meet as enemies on the battlefield,JSON,['to meet as enemies on the battlefield']
远交近攻,befriending distant states while attacking nearby ones,JSON,['befriending distant states while attacking nearby ones']
耍嘴皮子,"to be good at talking and using clever words, often to deceive or manipulate others",JSON,"['to be good at talking and using clever words, often to deceive or manipulate others']"
坐困愁城,to be trapped in a difficult situation and feeling distressed,JSON,['to be trapped in a difficult situation and feeling distressed']
苦思冥想,to ponder deeply and think hard,JSON,['to ponder deeply and think hard']
贤贤易色,"being infatuated with beauty, especially when it causes one to neglect their duties or responsibilities",JSON,"['being infatuated with beauty, especially when it causes one to neglect their duties or responsibilities']"
悔之不及,regretting deeply and too late; feeling remorse for not acting earlier or making different choices,JSON,"['regretting deeply and too late', 'feeling remorse for not acting earlier or making different choices']"
登高望远,gaining a broad and far-reaching perspective by climbing to a higher place,JSON,['gaining a broad and far-reaching perspective by climbing to a higher place']
大惊小怪,make a big fuss over something trivial,JSON,['make a big fuss over something trivial']
权倾天下,having absolute power and influence over the world,JSON,['having absolute power and influence over the world']
屏气敛息,"holding one's breath and restraining one's movements, keeping silent and unobtrusive",JSON,"[""holding one's breath and restraining one's movements, keeping silent and unobtrusive""]"
金榜题名,to pass a major examination and have one's name listed on the golden list,JSON,"[""to pass a major examination and have one's name listed on the golden list""]"
心驰神往,to be completely absorbed and deeply engrossed in one's thoughts or dreams,JSON,"[""to be completely absorbed and deeply engrossed in one's thoughts or dreams""]"
大吹大擂,bragging or making exaggerated claims to promote oneself or something,JSON,['bragging or making exaggerated claims to promote oneself or something']
知行合一,aligning one's knowledge and actions; practicing what one knows,JSON,"[""aligning one's knowledge and actions"", 'practicing what one knows']"
冠盖相望,"mutual respect and equality, no one is superior or inferior",JSON,"['mutual respect and equality, no one is superior or inferior']"
长年累月,"for a long period of time, repeatedly, over the years",JSON,"['for a long period of time, repeatedly, over the years']"
不依不饶,"relentless, not giving up easily",JSON,"['relentless, not giving up easily']"
下笔千言，离题万里,Going off on tangents and writing a lot of words that are unrelated to the main topic,JSON,['going off on tangents and writing a lot of words that are unrelated to the main topic']
成人之美,the beauty of maturity,JSON,['the beauty of maturity']
拨乱反正,to correct a chaotic situation; to rectify a wrongdoing,JSON,"['to correct a chaotic situation', 'to rectify a wrongdoing']"
有棱有角,sharp and angular; having clear-cut opinions or ideas,JSON,"['sharp and angular', 'having clear-cut opinions or ideas']"
鸡犬不惊,"unperturbed, not startled even by the clucking of chickens or barking of dogs",JSON,"['unperturbed, not startled even by the clucking of chickens or barking of dogs']"
精神焕发,full of vigor and vitality,JSON,['full of vigor and vitality']
作壁上观,"""to watch from the sidelines"" or ""to adopt a wait-and-see attitude""",JSON,"['to watch from the sidelines', 'to adopt a wait-and-see attitude']"
鬼蜮伎俩,tricks and schemes,JSON,['tricks and schemes']
三跪九叩,"""kneeling three times and kowtowing nine times"", meaning ""showing extreme reverence or respect""",JSON,"['kneeling three times and kowtowing nine times', 'showing extreme reverence or respect']"
人稠物穰,crowded with people and abundance of resources,JSON,['crowded with people and abundance of resources']
品貌非凡,having extraordinary appearance and demeanor,JSON,['having extraordinary appearance and demeanor']
杯弓蛇影,being overly suspicious or seeing imaginary enemies,JSON,['being overly suspicious or seeing imaginary enemies']
嘉言懿行,"a person who not only speaks kind words, but also carries out righteous actions",JSON,"['a person who not only speaks kind words, but also carries out righteous actions']"
层出不穷,endlessly emerging; constantly appearing one after another,JSON,"['endlessly emerging', 'constantly appearing one after another']"
深根固柢,have deep roots or a firm foundation,JSON,['have deep roots or a firm foundation']
一唱百和,Everyone chimes in harmoniously; everyone speaks in unison,JSON,"['everyone chimes in harmoniously', 'everyone speaks in unison']"
千古不朽,eternal and everlasting,JSON,['eternal and everlasting']
一本正经,to be serious and earnest,JSON,['to be serious and earnest']
成双成对,going in pairs,JSON,['going in pairs']
鼠窃狗偷,"to engage in sneaky and dishonest behavior, such as theft or other illegal activities",JSON,"['to engage in sneaky and dishonest behavior, such as theft or other illegal activities']"
大难临头,faced with a great disaster or crisis,JSON,['faced with a great disaster or crisis']
扑朔迷离,confusing and hard to understand,JSON,['confusing and hard to understand']
摇头晃脑,wobbling or shaking one's head and body,JSON,"[""wobbling or shaking one's head and body""]"
炙手可热,"""highly sought after"" or ""in high demand""",JSON,"['highly sought after', 'in high demand']"
不解之缘,an inexplicable and mysterious bond; a deep and mysterious connection between two people,JSON,"['an inexplicable and mysterious bond', 'a deep and mysterious connection between two people']"
大有裨益,Of great benefit; highly advantageous,JSON,"['of great benefit', 'highly advantageous']"
祸从天降,misfortune comes from the sky,JSON,['misfortune comes from the sky']
风光旖旎,beautiful and picturesque,JSON,['beautiful and picturesque']
目光炯炯,"bright and piercing gaze, full of determination or concentration",JSON,"['bright and piercing gaze, full of determination or concentration']"
应付自如,be adept at handling or dealing with something easily and effortlessly,JSON,['be adept at handling or dealing with something easily and effortlessly']
铭心刻骨,"deeply ingrained in one's heart and bones, leaving a lasting and profound impact",JSON,"[""deeply ingrained in one's heart and bones, leaving a lasting and profound impact""]"
失之交臂,"Missed opportunity, letting something valuable slip away",JSON,"['missed opportunity, letting something valuable slip away']"
反躬自问,"""introspect oneself"" or ""reflect on one's own actions""",JSON,"['introspect oneself', ""reflect on one's own actions""]"
万应灵丹,a versatile solution that can solve all problems,JSON,['a versatile solution that can solve all problems']
各奔前程,Each go their separate ways and pursue their respective goals,JSON,['each go their separate ways and pursue their respective goals']
稍逊一筹,slightly inferior or not quite as good as someone or something else,JSON,['slightly inferior or not quite as good as someone or something else']
三番两次,repeatedly; again and again,JSON,"['repeatedly', 'again and again']"
连枝共冢,sharing the same fate; inextricably linked,JSON,"['sharing the same fate', 'inextricably linked']"
驿寄梅花,to send or transmit something valuable or meaningful through a reliable and trustworthy channel,JSON,['to send or transmit something valuable or meaningful through a reliable and trustworthy channel']
欲言又止,to have something to say but hesitate to say it,JSON,['to have something to say but hesitate to say it']
切中时弊,"hitting the nail on the head"", ""addressing the current problem accurately",JSON,"[',']"
心如刀割,"""heartache"" or ""heartrending""",JSON,"['heartache', 'heartrending']"
种瓜得瓜，种豆得豆,You reap what you sow,JSON,['you reap what you sow']
赍志而殁,to die for a cause; to sacrifice one's life for a noble goal,JSON,"['to die for a cause', ""to sacrifice one's life for a noble goal""]"
不容置喙,not allowed to interject or express one's opinion,JSON,"[""not allowed to interject or express one's opinion""]"
大鸣大放,"to speak or express freely, without restraint",JSON,"['to speak or express freely, without restraint']"
海底捞月,Trying to grasp the moon in the bottom of the sea,JSON,['trying to grasp the moon in the bottom of the sea']
力能扛鼎,having the strength and ability to handle important tasks or heavy responsibilities,JSON,['having the strength and ability to handle important tasks or heavy responsibilities']
半夜三更,"late at night, especially around the time of 2-3 AM",JSON,"['late at night, especially around the time of 2-3 am']"
弃暗投明,"""Abandoning the darkness and embracing the light"" or ""switching sides from the wrong to the right""",JSON,"['abandoning the darkness and embracing the light', 'switching sides from the wrong to the right']"
明哲保身,protecting oneself by being cautious and avoiding trouble,JSON,['protecting oneself by being cautious and avoiding trouble']
满面红光,having a healthy and rosy complexion,JSON,['having a healthy and rosy complexion']
以词害意,to use words to mislead or conceal one's true intentions,JSON,"[""to use words to mislead or conceal one's true intentions""]"
坚定不移,firm and unwavering,JSON,['firm and unwavering']
水滴石穿,water droplets wear away the stone,JSON,['water droplets wear away the stone']
一波未平，一波又起,"as soon as one problem is solved, another arises",JSON,"['as soon as one problem is solved, another arises']"
愁眉苦脸,"wearing a troubled expression, looking worried or unhappy",JSON,"['wearing a troubled expression, looking worried or unhappy']"
气冲斗牛,"to be fearless and confrontational, not afraid of any challenges or obstacles",JSON,"['to be fearless and confrontational, not afraid of any challenges or obstacles']"
泛泛之交,casual acquaintances; people with whom one has a superficial and non-intimate relationship,JSON,"['casual acquaintances', 'people with whom one has a superficial and non-intimate relationship']"
洪福齐天,overflowing blessings; everyone experiencing great fortune,JSON,"['overflowing blessings', 'everyone experiencing great fortune']"
敬谢不敏,Fail to appreciate someone's kindness or compliment,JSON,"[""fail to appreciate someone's kindness or compliment""]"
不分皂白,"not distinguishing between right and wrong, unable to differentiate the truth from falsehood",JSON,"['not distinguishing between right and wrong, unable to differentiate the truth from falsehood']"
强词夺理,to use forceful and unreasonable arguments to support one's own position,JSON,"[""to use forceful and unreasonable arguments to support one's own position""]"
名闻遐迩,well-known far and wide,JSON,['well-known far and wide']
忠肝义胆,"loyalty and bravery, with a sincere and courageous heart",JSON,"['loyalty and bravery, with a sincere and courageous heart']"
含糊其词,being ambiguous or evasive in one's speech,JSON,"[""being ambiguous or evasive in one's speech""]"
纸上谈兵,talk about military strategy on paper,JSON,['talk about military strategy on paper']
抱薪救火,Trying to solve a problem but inadvertently making it worse,JSON,['trying to solve a problem but inadvertently making it worse']
宠辱皆忘,to be indifferent to both praise and blame,JSON,['to be indifferent to both praise and blame']
古道热肠,having a warm heart and showing kindness; displaying great enthusiasm and sincerity,JSON,"['having a warm heart and showing kindness', 'displaying great enthusiasm and sincerity']"
三年五载,Three years and five years,JSON,['three years and five years']
狐狸尾巴,"showing one's true colors, revealing one's hidden intentions or motives",JSON,"[""showing one's true colors, revealing one's hidden intentions or motives""]"
一纸空文,empty words on paper,JSON,['empty words on paper']
死心塌地,"be completely devoted or committed, without any doubts or reservations",JSON,"['be completely devoted or committed, without any doubts or reservations']"
偷工减料,"""cutting corners"" or ""using inferior materials""",JSON,"['cutting corners', 'using inferior materials']"
东施效颦,trying to imitate the frown of Dong Shi,JSON,['trying to imitate the frown of dong shi']
磨拳擦掌,Eagerly preparing for a fight or competition,JSON,['eagerly preparing for a fight or competition']
连枝带叶,connected and dependent on each other,JSON,['connected and dependent on each other']
普渡众生,to save and help all sentient beings,JSON,['to save and help all sentient beings']
却以其人之道，还治其人之身,To treat someone in the same way they treat others; to give someone a taste of their own medicine,JSON,"['to treat someone in the same way they treat others', 'to give someone a taste of their own medicine']"
安邦定国,establishing peace within the country which leads to stability and long-lasting rule,JSON,['establishing peace within the country which leads to stability and long-lasting rule']
自圆其说,making an argument appear consistent and logical even though it may be flawed or self-serving,JSON,['making an argument appear consistent and logical even though it may be flawed or self-serving']
天方夜谭,"a story or idea that is fanciful, unrealistic, or impossible",JSON,"['a story or idea that is fanciful, unrealistic, or impossible']"
清静无为,be calm and do nothing,JSON,['be calm and do nothing']
道听涂说,to hear and spread hearsay without verifying its accuracy,JSON,['to hear and spread hearsay without verifying its accuracy']
春风满面,having a radiant and joyful expression,JSON,['having a radiant and joyful expression']
燃眉之急,Urgency as if the eyebrows are burning,JSON,['urgency as if the eyebrows are burning']
头面人物,prominent figure; important person,JSON,"['prominent figure', 'important person']"
非此即彼,"""either this or that"", indicating that there are only two options or possibilities",JSON,['either this or that']
惘然若失,"to feel lost and confused, not knowing what to do or where to go",JSON,"['to feel lost and confused, not knowing what to do or where to go']"
混为一谈,to mix different things together or treat them as the same thing,JSON,['to mix different things together or treat them as the same thing']
聚蚊成雷,accumulating mosquitoes to become thunder,JSON,['accumulating mosquitoes to become thunder']
相见恨晚,"regret not meeting someone earlier, expressing a feeling of missing out on a valuable and enjoyable experience",JSON,"['regret not meeting someone earlier, expressing a feeling of missing out on a valuable and enjoyable experience']"
千钧一发,on the brink of a major crisis or disaster,JSON,['on the brink of a major crisis or disaster']
满城风雨,rumors and gossip spreading throughout the city,JSON,['rumors and gossip spreading throughout the city']
私相授受,engaging in illegal or secretive transactions or collusion,JSON,['engaging in illegal or secretive transactions or collusion']
鱼与熊掌,to have the best of both worlds; to want everything and be unwilling to compromise,JSON,"['to have the best of both worlds', 'to want everything and be unwilling to compromise']"
尺寸之地,a small and limited space or area,JSON,['a small and limited space or area']
便宜行事,taking advantage of the situation and acting in a self-serving way,JSON,['taking advantage of the situation and acting in a self-serving way']
旦夕之间,"within a short period of time, very soon",JSON,"['within a short period of time, very soon']"
案牍劳形,Exhausting oneself with paperwork,JSON,['exhausting oneself with paperwork']
势不可挡,a situation or force that is unstoppable or cannot be resisted,JSON,['a situation or force that is unstoppable or cannot be resisted']
一悲一喜,one sorrow and one joy,JSON,['one sorrow and one joy']
归根结蒂,to return to one's roots and find the true essence or foundation,JSON,"[""to return to one's roots and find the true essence or foundation""]"
视为畏途,consider it as a daunting path,JSON,['consider it as a daunting path']
嗤之以鼻,to scorn or dismiss something with contempt,JSON,['to scorn or dismiss something with contempt']
众人拾柴火焰高,Unity is strength,JSON,['unity is strength']
曾几何时,at some point in the past,JSON,['at some point in the past']
明媒正娶,to marry someone in a formal and proper manner with the approval and blessings of others,JSON,['to marry someone in a formal and proper manner with the approval and blessings of others']
断井颓垣,a dilapidated well and collapsed walls; a place in ruins,JSON,"['a dilapidated well and collapsed walls', 'a place in ruins']"
喜上眉梢,to be extremely happy or overjoyed,JSON,['to be extremely happy or overjoyed']
遍体鳞伤,covered in bruises and wounds all over the body; also refers to being deeply hurt both physically and emotionally,JSON,"['covered in bruises and wounds all over the body', 'also refers to being deeply hurt both physically and emotionally']"
鸠形鹄面,looking like a dove but having the face of a swan,JSON,['looking like a dove but having the face of a swan']
蛮横无理,being overbearing and unreasonable,JSON,['being overbearing and unreasonable']
冲口而出,speak without thinking; blurt out words without consideration; say something impulsively and without filtering,JSON,"['speak without thinking', 'blurt out words without consideration', 'say something impulsively and without filtering']"
公正廉明,"impartial and incorruptible, demonstrating fairness and integrity",JSON,"['impartial and incorruptible, demonstrating fairness and integrity']"
不置可否,neither confirm nor deny,JSON,['neither confirm nor deny']
